========== 批量实时预测性能验证 ==========
验证样本数：100
批量预测准确率：82.00%
批量预测加权F1：0.8222
离线测试集准确率：78.60%
差异说明：批量验证仅抽取了100条样本，受抽样波动影响，指标与全量测试集存在合理偏差。

========== 逐条预测明细 ==========
输入：最近 口头禅 连续 更新 我 都 脱口而出 我 擦 如此 高... | 预测：负面(58.65%) | 真实：负面
输入：以前 的 我 还 算 独立 可以 较为 妥善 地 安排 好 ... | 预测：正面(51.94%) | 真实：正面
输入：老姨 啊 老姨亲 归亲 但是 尊重 还是 有 的 吧 怎么 ... | 预测：负面(76.61%) | 真实：负面
输入：分享 图片... | 预测：正面(62.66%) | 真实：负面
输入：并 不是 所有 的 疼痛 都 可以 呐喊... | 预测：负面(64.22%) | 真实：负面
输入：今天 和 我家 大 宝宝 一起 吃饭 了 花心 馋嘴 不 小... | 预测：正面(79.08%) | 真实：正面
输入：找出 一条 高中 买 的 裤子 当时 穿着 超大 晕 现在 ... | 预测：负面(58.54%) | 真实：负面
输入：发低烧 太难受 了... | 预测：负面(60.41%) | 真实：负面
输入：不要 对 我 好 你 一对 我 好 我 就 想 留 眼泪 啦... | 预测：负面(74.50%) | 真实：负面
输入：很 怕 这种 需要 每天 坚持 一点点 的 事情 知道 对方... | 预测：负面(75.87%) | 真实：负面
输入：独自 一个 人 行走 今天 就 能 触发 和 另 一个 人 ... | 预测：正面(73.24%) | 真实：负面
输入：我哥 说 我 考到 编 就 送 我个 正想 开心 他 说 是... | 预测：正面(69.99%) | 真实：负面
输入：拒绝 快乐 永远 是 世界 上 最 愚蠢 的 事... | 预测：正面(66.98%) | 真实：正面
输入：美 吉姆 于 年 成立 于 美国 洛杉矶 至今 拥有 年 儿... | 预测：正面(59.98%) | 真实：负面
输入：讨厌 啥 来 啥... | 预测：负面(96.41%) | 真实：负面
输入：居然 是 选 做 的 我 花 了 那么 多 时间 写 三篇 ... | 预测：负面(82.82%) | 真实：负面
输入：有人 说 快乐 是 种 很 重要 的 东西 为什么 我 把 ... | 预测：正面(97.07%) | 真实：正面
输入：最 喜闻乐见 女 的 打 起来 的 戏 了 简直 酷炫 屌... | 预测：正面(55.30%) | 真实：正面
输入：就 这样 静静地 祝 你 生日快乐 就 好 了... | 预测：负面(56.15%) | 真实：负面
输入：未来 在 哪里... | 预测：负面(56.95%) | 真实：负面
输入：朋友 们 都 出去 度假 妞儿 你 很少 能 回家 这个 机... | 预测：负面(64.68%) | 真实：正面
